# exported by xylib from a spe file
# column_1	column_2
719.938877	355.149170
720.000000	357.712372
720.061123	359.522644
720.122246	359.099396
720.183369	360.420502
720.244492	361.719147
720.305615	361.235718
720.366737	359.934723
720.427860	356.897675
720.488983	358.066376
720.550106	359.483368
720.611229	357.950714
720.672352	356.992706
720.733475	356.387024
720.794598	357.729156
720.855721	359.061310
720.916844	356.403473
720.977966	355.849670
721.039089	354.973755
721.100212	357.150085
721.161335	359.596375
721.222458	360.565704
721.283581	360.967834
721.344704	359.729767
721.405827	361.510132
721.466950	361.669983
721.528073	357.908020
721.589195	361.472748
721.650318	361.956818
721.711441	357.771606
721.772564	362.282623
721.833687	360.387024
721.894810	359.437561
721.955933	359.443146
722.017056	351.662384
722.078179	352.552765
722.139301	351.647369
722.200424	355.286926
722.261547	360.953339
722.322670	358.788727
722.383793	360.232208
722.444916	357.924469
722.506039	356.697968
722.567162	353.300385
722.628285	357.399170
722.689408	359.304810
722.750530	357.995880
722.811653	354.588287
722.872776	358.702454
722.933899	361.927429
722.995022	360.417572
723.056145	355.515045
723.117268	359.537445
723.178391	358.684753
723.239514	361.560211
723.300637	363.275421
723.361760	361.351318
723.422882	358.295532
723.484005	356.634369
723.545128	356.109161
723.606251	356.689331
723.667374	356.146210
723.728497	358.995605
723.789620	362.618073
723.850743	361.136810
723.911866	361.029083
723.972989	360.774323
724.034111	358.849487
724.095234	358.419434
724.156357	357.148346
724.217480	356.837738
724.278603	363.923889
724.339726	361.085815
724.400849	358.560669
724.461972	360.922974
724.523095	361.389069
724.584218	359.958801
724.645340	359.901062
724.706463	365.547821
724.767586	357.916199
724.828709	359.053619
724.889832	359.946716
724.950955	356.311340
725.012078	358.917114
725.073201	353.919922
725.134324	363.582581
725.195447	362.368896
725.256569	357.962067
725.317692	361.714111
725.378815	361.780396
725.439938	366.640045
725.501061	360.777435
725.562184	366.519775
725.623307	365.713074
725.684430	359.190460
725.745553	362.444489
725.806675	366.314362
725.867798	361.422760
725.928921	363.364685
725.990044	362.899506
726.051167	355.335541
726.112290	361.198730
726.173413	368.317230
726.234536	367.338715
726.295659	367.477356
726.356782	363.261292
726.417904	362.539093
726.479027	362.803558
726.540150	362.809143
726.601273	364.836792
726.662396	365.770111
726.723519	367.697388
726.784642	366.859802
726.845765	363.358612
726.906888	361.859467
726.968011	365.307617
727.029134	369.999146
727.090256	370.088440
727.151379	363.003235
727.212502	358.461090
727.273625	361.886597
727.334748	368.167267
727.395871	368.536133
727.456994	366.182983
727.518117	370.362610
727.579240	370.459656
727.640363	368.600250
727.701485	370.876343
727.762608	368.914185
727.823731	368.059540
727.884854	366.838745
727.945977	374.122803
728.007100	373.364960
728.068223	371.989777
728.129346	365.961792
728.190469	369.349426
728.251592	371.289734
728.312714	371.332520
728.373837	366.122955
728.434960	366.561371
728.496083	366.575317
728.557206	372.905487
728.618329	363.309998
728.679452	371.406677
728.740575	367.833038
728.801698	367.355347
728.862820	371.747528
728.923943	369.962952
728.985066	370.743469
729.046189	366.070648
729.107312	370.915680
729.168435	366.002869
729.229558	368.910645
729.290681	365.159058
729.351804	368.776978
729.412927	365.299011
729.474049	368.659851
729.535172	364.551453
729.596295	369.301544
729.657418	363.996368
729.718541	368.136871
729.779664	372.304169
729.840787	368.108459
729.901910	361.514069
729.963033	367.926392
730.024156	370.777374
730.085278	368.776489
730.146401	365.877502
730.207524	369.386047
730.268647	368.936493
730.329770	368.758331
730.390893	369.067932
730.452016	366.479034
730.513139	370.205444
730.574262	371.170715
730.635385	368.271027
730.696508	368.884766
730.757630	371.796082
730.818753	374.153381
730.879876	368.557983
730.940999	364.781769
731.002122	365.157867
731.063245	368.632172
731.124368	371.646515
731.185491	370.126617
731.246614	368.353943
731.307737	372.206512
731.368859	377.920898
731.429982	374.276001
731.491105	374.255615
731.552228	374.233826
731.613351	370.448639
731.674474	368.180603
731.735597	367.521332
731.796720	369.879089
731.857843	368.047607
731.918966	368.011993
731.980088	373.831421
732.041211	370.693085
732.102334	371.270935
732.163457	368.886139
732.224580	371.405701
732.285703	372.562378
732.346826	373.675323
732.407949	371.980927
732.469072	375.612457
732.530194	371.981384
732.591317	370.048218
732.652440	368.564392
732.713563	371.478638
732.774686	373.917755
732.835809	369.164032
732.896932	366.289948
732.958055	364.384003
733.019178	364.389648
733.080301	367.345947
733.141423	370.260803
733.202546	372.222534
733.263669	369.476990
733.324792	374.881042
733.385915	372.533813
733.447038	366.951080
733.508161	363.771088
733.569284	370.358734
733.630407	374.732666
733.691530	373.621155
733.752653	369.233185
733.813775	369.206268
733.874898	371.758057
733.936021	370.035828
733.997144	370.163666
734.058267	367.423401
734.119390	367.918365
734.180513	372.718445
734.241636	370.861084
734.302759	370.117950
734.363882	366.411377
734.425004	363.211426
734.486127	368.309021
734.547250	368.929291
734.608373	371.151154
734.669496	369.839294
734.730619	366.343140
734.791742	370.063629
734.852865	373.426941
734.913988	369.679352
734.975111	365.498199
735.036233	369.138031
735.097356	371.481232
735.158479	368.081665
735.219602	369.804840
735.280725	372.122375
735.341848	369.649445
735.402971	368.551941
735.464094	370.581055
735.525217	371.149841
735.586340	366.832367
735.647462	368.507263
735.708585	371.428314
735.769708	366.936432
735.830831	367.541504
735.891954	371.857605
735.953077	370.812805
736.014200	368.009979
736.075323	371.571655
736.136446	371.086182
736.197568	369.843201
736.258691	369.952637
736.319814	369.070007
736.380937	374.557526
736.442060	372.997955
736.503183	367.134552
736.564306	374.138885
736.625429	371.099182
736.686552	368.036926
736.747675	371.265137
736.808797	375.774109
736.869920	368.297180
736.931043	375.475647
736.992166	373.492310
737.053289	370.551331
737.114412	366.880981
737.175535	374.633148
737.236658	374.639038
737.297781	375.620117
737.358904	369.869629
737.420027	365.938416
737.481149	369.520996
737.542272	372.495392
737.603395	371.796997
737.664518	364.593719
737.725641	369.978638
737.786764	375.925659
737.847887	376.669373
737.909010	369.993927
737.970133	372.077423
738.031256	372.742554
738.092378	375.128662
738.153501	374.932953
738.214624	372.435120
738.275747	371.027740
738.336870	383.345459
738.397993	376.707092
738.459116	379.887085
738.520239	380.561218
738.581362	376.284088
738.642485	380.125671
738.703607	376.770782
738.764730	378.289703
738.825853	380.708191
738.886976	379.485687
738.948099	381.149567
739.009222	379.764252
739.070345	380.638977
739.131468	377.674164
739.192591	373.293060
739.253714	373.923218
739.314836	372.243134
739.375959	376.983826
739.437082	381.760071
739.498205	377.874390
739.559328	375.382263
739.620451	376.670563
739.681574	377.942902
739.742697	379.819702
739.803820	384.173187
739.864942	381.577454
739.926065	379.938660
739.987188	383.655975
740.048311	383.240997
740.109434	383.704254
740.170557	380.182037
740.231680	379.577087
740.292803	379.028107
740.353926	384.106445
740.415049	383.978363
740.476171	383.436157
740.537294	386.279388
740.598417	380.918640
740.659540	379.715759
740.720663	384.983521
740.781786	381.884521
740.842909	382.995117
740.904032	386.962677
740.965155	382.258179
741.026278	380.682892
741.087401	390.138702
741.148523	386.695953
741.209646	393.202759
741.270769	395.445953
741.331892	383.320129
741.393015	388.459351
741.454138	396.542450
741.515261	392.892273
741.576384	394.658173
741.637507	389.891449
741.698630	391.853516
741.759752	402.707275
741.820875	391.989075
741.881998	386.090118
741.943121	400.182129
742.004244	397.949677
742.065367	404.266083
742.126490	410.181549
742.187613	405.263062
742.248736	414.463287
742.309859	416.468750
742.370981	410.577332
742.432104	402.916840
742.493227	410.963196
742.554350	406.916412
742.615473	416.259674
742.676596	425.754028
742.737719	422.012390
742.798842	419.815399
742.859965	418.847351
742.921087	419.367950
742.982210	421.812531
743.043333	424.743164
743.104456	426.967529
743.165579	426.148529
743.226702	418.756134
743.287825	411.020294
743.348948	423.883575
743.410071	421.860504
743.471194	414.183685
743.532316	416.474396
743.593439	422.936584
743.654562	429.768158
743.715685	428.467285
743.776808	429.038361
743.837931	424.331604
743.899054	416.553711
743.960177	422.220245
744.021300	439.510620
744.082423	446.831757
744.143545	443.444427
744.204668	444.872162
744.265791	453.979218
744.326914	462.614502
744.388037	464.213898
744.449160	468.112305
744.510283	475.218201
744.571406	485.812256
744.632529	502.772003
744.693652	523.545898
744.754775	541.920959
744.815897	551.003113
744.877020	577.006714
744.938143	598.702637
744.999266	616.248657
745.060389	643.398315
745.121512	672.274597
745.182635	694.071899
745.243758	730.101868
745.304881	766.529297
745.366004	827.341248
745.427126	881.141113
745.488249	894.220093
745.549372	910.305664
745.610495	932.147339
745.671618	975.525146
745.732741	951.698730
745.793864	998.694641
745.854987	954.571960
745.916110	929.331909
745.977233	902.724121
746.038355	893.669556
746.099478	843.919678
746.160601	826.831604
746.221724	810.275818
746.282847	754.322632
746.343970	731.407349
746.405093	700.727295
746.466216	662.139404
746.527339	635.691467
746.588461	605.547485
746.649584	585.049561
